Instancia,Algoritmo,Run,Tiempo_s
r201,CLASSIC,3,10.5
r201,CLASSIC,4,10.5469
r201,CLASSIC,5,10.5469
r201,CLASSIC,6,10.3906
r201,CLASSIC,7,10.5781
r201,CLASSIC,8,10.5
r201,CLASSIC,9,10.3438
r201,CLASSIC,10,10.3438
r201,QLEARNING,1,10.1562
r201,QLEARNING,2,10.4219
r201,QLEARNING,3,10.3438
r201,QLEARNING,4,10.2656
r201,QLEARNING,5,10.4688
r201,QLEARNING,6,10.2031
r201,QLEARNING,7,10.7188
r201,QLEARNING,8,10.3438
r201,QLEARNING,9,10.2812
r201,QLEARNING,10,10.5625
r202,CLASSIC,1,12.7344
r202,CLASSIC,2,13.0938
r202,CLASSIC,3,12.9375
r202,CLASSIC,4,12.8906
r202,CLASSIC,5,12.9531
r202,CLASSIC,6,13.125
r202,CLASSIC,7,13.0781
r202,CLASSIC,8,13.0938
r202,CLASSIC,9,13.0312
r202,CLASSIC,10,13.9375
r202,QLEARNING,1,12.8125
r202,QLEARNING,2,13.0781
r202,QLEARNING,3,14.0781
r202,QLEARNING,4,13.8438
r202,QLEARNING,5,13.0156
r202,QLEARNING,6,13.7344
r202,QLEARNING,7,13.8594
r202,QLEARNING,8,13.0938
r202,QLEARNING,9,13.0781
r202,QLEARNING,10,13.5625
r203,CLASSIC,1,13.7344
r203,CLASSIC,2,15.3906
r203,CLASSIC,3,14.1406
r203,CLASSIC,4,14.0469
r203,CLASSIC,5,15.5781
r203,CLASSIC,6,13.6875
r203,CLASSIC,7,14.0781
r203,CLASSIC,8,13.9219
r203,CLASSIC,9,13.4375
r203,CLASSIC,10,13.8438
r203,QLEARNING,1,14.0156
r203,QLEARNING,2,14.0156
r203,QLEARNING,3,14.2969
r203,QLEARNING,4,14.25
r203,QLEARNING,5,15.2031
r203,QLEARNING,6,14.3281
r203,QLEARNING,7,14.2656
r203,QLEARNING,8,13.7812
r203,QLEARNING,9,13.875
r203,QLEARNING,10,13.9688
r204,CLASSIC,1,14.5938
r204,CLASSIC,2,14.5156
r204,CLASSIC,3,15.0312
r204,CLASSIC,4,14.6875
r204,CLASSIC,5,14.5781
r204,CLASSIC,6,14.7344
r204,CLASSIC,7,14.375
r204,CLASSIC,8,14.7031
r204,CLASSIC,9,14.8438
r204,CLASSIC,10,14.6562
r204,QLEARNING,1,15.1094
r204,QLEARNING,2,15.1719
r204,QLEARNING,3,14.6562
r204,QLEARNING,4,14.625
r204,QLEARNING,5,14.5781
r204,QLEARNING,6,15.0156
r204,QLEARNING,7,14.4844
r204,QLEARNING,8,14.6875
r204,QLEARNING,9,14.625
r204,QLEARNING,10,15.1094
r205,CLASSIC,1,10.7188
r205,CLASSIC,2,10.5312
r205,CLASSIC,3,10.6875
r205,CLASSIC,4,10.4219
r205,CLASSIC,5,10.4844
r205,CLASSIC,6,10.5625
r205,CLASSIC,7,12.4688
r205,CLASSIC,8,10.3906
r205,CLASSIC,9,11.0625
r205,CLASSIC,10,10.5312
r205,QLEARNING,1,10.9844
r205,QLEARNING,2,10.875
r205,QLEARNING,3,10.7812
r205,QLEARNING,4,10.8281
r205,QLEARNING,5,11.0156
r205,QLEARNING,6,10.6719
r205,QLEARNING,7,10.625
r205,QLEARNING,8,10.8906
r205,QLEARNING,9,10.8906
r205,QLEARNING,10,12.5938
r206,CLASSIC,1,12.1719
r206,CLASSIC,2,12.9375
r206,CLASSIC,3,12.2188
r206,CLASSIC,4,12.3594
r206,CLASSIC,5,12.875
r206,CLASSIC,6,12.625
r206,CLASSIC,7,12.375
r206,CLASSIC,8,12.2812
r206,CLASSIC,9,12.2344
r206,CLASSIC,10,12.375
r206,QLEARNING,1,12.7188
r206,QLEARNING,2,12.625
r206,QLEARNING,3,12.25
r206,QLEARNING,4,12.3906
r206,QLEARNING,5,13.2344
r206,QLEARNING,6,12.5156
r206,QLEARNING,7,12.5781
r206,QLEARNING,8,12.7812
r206,QLEARNING,9,12.2812
r206,QLEARNING,10,13.375
r207,CLASSIC,1,14.0156
r207,CLASSIC,2,13.9688
r207,CLASSIC,3,14.1562
r207,CLASSIC,4,14.0156
r207,CLASSIC,5,14.0469
r207,CLASSIC,6,13.9219
r207,CLASSIC,7,13.7031
r207,CLASSIC,8,13.9844
r207,CLASSIC,9,13.9844
r207,CLASSIC,10,13.9844
r207,QLEARNING,1,14.0312
r207,QLEARNING,2,14.5
r207,QLEARNING,3,14.0781
r207,QLEARNING,4,14.2969
r207,QLEARNING,5,13.9844
r207,QLEARNING,6,13.875
r207,QLEARNING,7,14.4688
r207,QLEARNING,8,13.7188
r207,QLEARNING,9,13.75
r207,QLEARNING,10,14.2812
r208,CLASSIC,1,13.3906
r208,CLASSIC,2,13.3281
r208,CLASSIC,3,13.7344
r208,CLASSIC,4,13.7031
r208,CLASSIC,5,15.0312
r208,CLASSIC,6,13.3906
r208,CLASSIC,7,13.875
r208,CLASSIC,8,13.5625
r208,CLASSIC,9,13.4531
r208,CLASSIC,10,13.3438
r208,QLEARNING,1,13.6406
r208,QLEARNING,2,14.2188
r208,QLEARNING,3,13.9375
r208,QLEARNING,4,13.7031
r208,QLEARNING,5,14.2031
r208,QLEARNING,6,15.4062
r208,QLEARNING,7,13.9688
r208,QLEARNING,8,13.7344
r208,QLEARNING,9,13.4219
r208,QLEARNING,10,13.9688
r209,CLASSIC,1,12.1562
r209,CLASSIC,2,12.0156
r209,CLASSIC,3,12.4531
r209,CLASSIC,4,12.4844
r209,CLASSIC,5,12.2344
r209,CLASSIC,6,12.2656
r209,CLASSIC,7,12.25
r209,CLASSIC,8,12.1406
r209,CLASSIC,9,12.125
r209,CLASSIC,10,14.2344
r209,QLEARNING,1,12.6562
r209,QLEARNING,2,12.5
r209,QLEARNING,3,13.9219
r209,QLEARNING,4,12.5312
r209,QLEARNING,5,12.4688
