iter,state,best_veh,best_dist,curr_veh,curr_dist,d_op,r_op,reward,temp,d_weight_0,d_weight_1,d_weight_2,d_weight_3,r_weight_0,r_weight_1,r_weight_2,r_weight_3
111,0,13,1437.88,13,1441.34,3,2,9,266.451,0.403846,0.135735,0.137672,0.322747,0.105483,0.285073,0.464294,0.145149
112,0,13,1419.45,13,1419.45,3,2,33,266.318,0.40498,0.136086,0.138028,0.320905,0.107438,0.290416,0.454296,0.14785
113,0,13,1419.45,13,1419.45,3,1,0,266.185,0.337666,0.113442,0.115061,0.433831,0.0853085,0.230642,0.566646,0.117403
114,0,13,1419.45,13,1419.45,1,1,0,266.052,0.36933,0.124052,0.125824,0.380794,0.087988,0.206248,0.584666,0.121099
115,0,13,1419.45,13,1462.55,0,2,9,265.919,0.373911,0.113213,0.127357,0.385519,0.0902106,0.185963,0.599661,0.124165
116,0,13,1419.45,13,1462.55,2,0,0,265.786,0.367287,0.114393,0.128687,0.389633,0.0928327,0.191396,0.587989,0.127783
117,0,13,1419.45,13,1462.55,0,1,0,265.653,0.372077,0.115858,0.117346,0.394719,0.088898,0.1922,0.590593,0.128309
118,0,13,1398.16,13,1398.16,2,2,33,265.52,0.324497,0.124617,0.126219,0.424667,0.090845,0.17427,0.603756,0.131129
119,0,13,1372.08,13,1372.08,2,2,33,265.388,0.295138,0.113321,0.205275,0.386266,0.0679125,0.130295,0.703758,0.0980347
120,0,13,1372.08,13,1376.78,3,3,9,265.255,0.258637,0.099287,0.303562,0.338513,0.0490666,0.09415,0.785948,0.070835
121,0,13,1372.08,13,1376.78,0,0,0,265.122,0.261385,0.100323,0.306797,0.331495,0.0483876,0.0928593,0.775503,0.0832502
122,0,13,1372.08,13,1520.6,2,2,9,264.99,0.226109,0.105093,0.321458,0.347341,0.0496558,0.0927036,0.774532,0.0831088
123,0,13,1372.08,13,1520.6,2,2,0,264.857,0.22778,0.105854,0.316428,0.349939,0.052192,0.0974506,0.762995,0.0873626
124,0,13,1372.08,13,1499.19,3,2,13,264.725,0.241991,0.112441,0.273765,0.371803,0.0627004,0.117086,0.71525,0.104963
125,0,13,1372.08,13,1452.06,2,2,13,264.592,0.237362,0.110273,0.268535,0.383829,0.0616549,0.115148,0.719973,0.103224
126,0,13,1372.08,13,1434.91,2,2,13,264.46,0.231782,0.107664,0.285714,0.374841,0.06064,0.113267,0.724558,0.101535
127,0,13,1372.08,13,1434.91,3,2,0,264.328,0.226578,0.10523,0.301732,0.36646,0.0596546,0.11144,0.72901,0.0998953
128,0,13,1372.08,13,1434.91,3,3,0,264.196,0.243988,0.113299,0.324937,0.317775,0.0708652,0.132399,0.678055,0.11868
129,0,13,1372.08,13,1434.91,1,1,0,264.064,0.259654,0.120555,0.345819,0.273972,0.0713824,0.133382,0.683313,0.111923
130,0,13,1372.08,13,1416.5,2,1,13,263.932,0.262881,0.1096,0.350138,0.277381,0.0720703,0.124709,0.690209,0.113012
131,0,13,1372.08,13,1439.31,2,2,9,263.8,0.257871,0.107492,0.362539,0.272097,0.0701353,0.147895,0.671982,0.109987
132,0,13,1372.08,13,1555.06,1,3,9,263.668,0.26059,0.108607,0.355835,0.274969,0.0727581,0.153449,0.659682,0.114111
133,0,13,1372.08,13,1515.41,2,2,13,263.536,0.257949,0.117616,0.35225,0.272185,0.0716831,0.151204,0.650221,0.126891
134,0,13,1372.08,13,1515.41,2,0,0,263.404,0.253046,0.115362,0.364578,0.267014,0.070378,0.148474,0.656553,0.124595
135,0,13,1372.08,13,1509.86,2,2,13,263.272,0.272216,0.124082,0.316457,0.287245,0.0692714,0.14862,0.657395,0.124714
136,0,13,1372.08,13,1509.86,3,3,0,263.141,0.267277,0.121812,0.328875,0.282037,0.0680206,0.145959,0.663545,0.122476
137,0,13,1372.08,13,1508.42,3,2,13,263.009,0.281418,0.128237,0.34629,0.244055,0.0685784,0.147178,0.669291,0.114953
