Instancia,Opt_Veh,Opt_Dist,Run1_Veh,Run1_Dist,Run2_Veh,Run2_Dist,Run3_Veh,Run3_Dist,Run4_Veh,Run4_Dist,Run5_Veh,Run5_Dist,Run6_Veh,Run6_Dist,Run7_Veh,Run7_Dist,Run8_Veh,Run8_Dist,Run9_Veh,Run9_Dist,Run10_Veh,Run10_Dist,Best_Veh,Avg_Veh,Std_Veh,Best_Dist,Avg_Dist,Std_Dist,Veh_GAP,Dist_GAP,Unified_GAP,Avg_Time(s)
C205,3.0,588.88,3,588.88,3,588.88,3,588.88,3,588.88,3,588.88,3,588.88,3,588.88,3,588.88,3,588.88,3,588.88,3,3.00,0.000,588.88,588.88,0.00,0.00,-0.00,-0.00,7.97
C206,3.0,588.49,3,588.49,3,588.49,3,588.49,3,588.49,3,588.49,3,588.49,3,588.49,3,588.49,3,588.49,3,588.49,3,3.00,0.000,588.49,588.49,0.00,0.00,0.00,0.00,8.46
C207,3.0,588.29,3,588.29,3,588.29,3,588.29,3,588.29,3,588.29,3,588.29,3,588.29,3,588.29,3,588.29,3,588.29,3,3.00,0.000,588.29,588.29,0.00,0.00,-0.00,-0.00,9.25
C208,3.0,588.32,3,588.32,3,588.32,3,588.32,3,588.32,3,588.32,3,588.32,3,588.32,3,588.32,3,588.32,3,588.32,3,3.00,0.000,588.32,588.32,0.00,0.00,0.00,0.00,8.61
R101,19.0,1650.8,19,1651.06,19,1651.06,19,1650.80,19,1651.32,19,1651.01,19,1650.80,19,1654.06,19,1652.47,19,1651.10,19,1651.15,19,19.00,0.000,1650.80,1651.48,0.97,0.00,0.04,0.04,12.99
R102,17.0,1486.12,17,1487.76,17,1487.97,17,1488.88,17,1488.50,17,1493.17,17,1487.74,17,1486.12,17,1493.72,17,1487.57,17,1487.31,17,17.00,0.000,1486.12,1488.87,2.39,0.00,0.19,0.19,19.05
R103,13.0,1292.68,14,1213.73,13,1324.37,14,1214.81,14,1213.73,13,1483.17,14,1214.17,14,1218.98,14,1213.73,13,1327.31,13,1311.96,13,13.60,0.490,1311.96,1273.60,84.60,0.60,-1.48,58.52,20.54
R104,9.0,1007.31,10,981.23,10,981.23,10,994.55,10,981.23,10,986.72,10,981.23,10,988.77,10,986.72,10,981.23,10,988.25,10,10.00,0.000,981.23,985.12,4.39,1.00,-2.20,97.80,17.81
R105,14.0,1377.11,14,1377.63,14,1381.37,14,1391.82,14,1381.89,14,1377.63,14,1377.11,14,1377.63,14,1377.33,14,1377.11,14,1378.78,14,14.00,0.000,1377.11,1379.83,4.32,0.00,0.20,0.20,15.20
R106,12.0,1252.03,12,1261.67,12,1263.47,12,1262.86,12,1262.86,12,1263.61,12,1258.48,12,1258.31,12,1264.92,12,1258.48,12,1273.13,12,12.00,0.000,1258.31,1262.78,4.14,0.00,0.86,0.86,19.92
R107,10.0,1104.66,11,1076.78,11,1072.40,11,1072.12,11,1081.93,11,1076.10,11,1075.21,11,1078.01,11,1089.71,11,1073.01,11,1075.14,11,11.00,0.000,1072.12,1077.04,5.05,1.00,-2.50,97.50,18.69
R108,9.0,960.88,10,950.01,10,944.50,10,946.76,10,952.82,10,954.82,10,944.50,10,942.17,10,952.68,10,949.82,9,981.33,9,9.90,0.300,981.33,951.94,10.56,0.90,-0.93,89.07,18.39
R109,11.0,1194.73,12,1157.04,12,1154.55,12,1154.13,12,1156.21,12,1163.46,12,1156.83,12,1153.52,12,1158.54,12,1155.60,12,1153.52,12,12.00,0.000,1153.52,1156.34,2.84,1.00,-3.21,96.79,15.87
R110,10.0,1118.84,11,1081.32,11,1089.68,11,1097.60,11,1094.42,11,1089.67,11,1084.03,11,1093.01,11,1084.87,11,1121.98,11,1080.64,11,11.00,0.000,1080.64,1091.72,11.42,1.00,-2.42,97.58,19.29
R111,10.0,1096.73,11,1054.23,11,1059.86,11,1054.23,11,1059.86,11,1059.55,11,1060.10,11,1054.23,11,1054.23,11,1054.23,11,1054.23,11,11.00,0.000,1054.23,1056.47,2.75,1.00,-3.67,96.33,18.64
R112,9.0,982.14,10,969.11,10,953.63,10,958.73,10,953.63,10,972.00,10,960.07,10,962.44,10,961.85,10,959.54,10,955.75,10,10.00,0.000,953.63,960.68,5.77,1.00,-2.19,97.81,17.59
R201,4.0,1252.37,4,1254.72,4,1256.23,4,1253.23,4,1252.37,4,1265.11,4,1256.23,4,1258.89,4,1252.37,4,1254.19,4,1253.69,4,4.00,0.000,1252.37,1255.70,3.67,0.00,0.27,0.27,9.81
R202,3.0,1191.7,4,1084.38,4,1087.29,4,1084.38,4,1084.13,4,1085.88,4,1087.79,4,1097.16,4,1085.88,4,1082.59,4,1095.49,4,4.00,0.000,1082.59,1087.50,4.66,1.00,-8.74,91.26,13.03
R203,3.0,939.5,3,942.86,3,950.44,3,949.70,3,950.14,3,956.32,3,948.86,3,947.99,3,953.96,3,962.38,3,942.86,3,3.00,0.000,942.86,950.55,5.60,0.00,1.18,1.18,14.84
R204,2.0,825.52,3,750.76,3,753.54,3,752.17,3,761.32,3,757.12,3,767.53,3,765.18,3,757.08,3,760.56,3,761.02,3,3.00,0.000,750.76,758.63,5.22,1.00,-8.10,91.90,15.52
