Instancia,Algoritmo,Avg_Vehiculos,Avg_Distancia,Best_Vehiculos,Best_Distancia,Runs_OK,Veh_Run1,Dist_Run1,Veh_Run2,Dist_Run2,Veh_Run3,Dist_Run3,Veh_Run4,Dist_Run4,Veh_Run5,Dist_Run5,Veh_Run6,Dist_Run6,Veh_Run7,Dist_Run7,Veh_Run8,Dist_Run8,Veh_Run9,Dist_Run9,Veh_Run10,Dist_Run10
c108,CLASSIC,10.0,828.94,10,828.94,10,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94
c108,QLEARNING,10.0,828.94,10,828.94,10,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94
c109,CLASSIC,10.0,828.94,10,828.94,10,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94
c109,QLEARNING,10.0,828.94,10,828.94,10,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94
c201,CLASSIC,3.0,591.56,3,591.56,10,3,591.56,3,591.56,3,591.56,3,591.56,3,591.56,3,591.56,3,591.56,3,591.56,3,591.56,3,591.56
c201,QLEARNING,3.0,591.56,3,591.56,10,3,591.56,3,591.56,3,591.56,3,591.56,3,591.56,3,591.56,3,591.56,3,591.56,3,591.56,3,591.56
c202,CLASSIC,3.0,591.56,3,591.56,10,3,591.56,3,591.56,3,591.56,3,591.56,3,591.56,3,591.56,3,591.56,3,591.56,3,591.56,3,591.56
c202,QLEARNING,3.0,591.56,3,591.56,10,3,591.56,3,591.56,3,591.56,3,591.56,3,591.56,3,591.56,3,591.56,3,591.56,3,591.56,3,591.56
c203,CLASSIC,3.0,591.17,3,591.17,10,3,591.17,3,591.17,3,591.17,3,591.17,3,591.17,3,591.17,3,591.17,3,591.17,3,591.17,3,591.17
c203,QLEARNING,3.0,591.17,3,591.17,10,3,591.17,3,591.17,3,591.17,3,591.17,3,591.17,3,591.17,3,591.17,3,591.17,3,591.17,3,591.17
c204,CLASSIC,3.0,590.6,3,590.6,10,3,590.6,3,590.6,3,590.6,3,590.6,3,590.6,3,590.6,3,590.6,3,590.6,3,590.6,3,590.6
c205,CLASSIC,3.0,588.88,3,588.88,10,3,588.88,3,588.88,3,588.88,3,588.88,3,588.88,3,588.88,3,588.88,3,588.88,3,588.88,3,588.88
c204,QLEARNING,3.0,590.6,3,590.6,10,3,590.6,3,590.6,3,590.6,3,590.6,3,590.6,3,590.6,3,590.6,3,590.6,3,590.6,3,590.6
c205,QLEARNING,3.0,588.88,3,588.88,10,3,588.88,3,588.88,3,588.88,3,588.88,3,588.88,3,588.88,3,588.88,3,588.88,3,588.88,3,588.88
c206,CLASSIC,3.0,588.49,3,588.49,10,3,588.49,3,588.49,3,588.49,3,588.49,3,588.49,3,588.49,3,588.49,3,588.49,3,588.49,3,588.49
c206,QLEARNING,3.0,588.49,3,588.49,10,3,588.49,3,588.49,3,588.49,3,588.49,3,588.49,3,588.49,3,588.49,3,588.49,3,588.49,3,588.49
c207,CLASSIC,3.0,588.29,3,588.29,10,3,588.29,3,588.29,3,588.29,3,588.29,3,588.29,3,588.29,3,588.29,3,588.29,3,588.29,3,588.29
c207,QLEARNING,3.0,588.29,3,588.29,10,3,588.29,3,588.29,3,588.29,3,588.29,3,588.29,3,588.29,3,588.29,3,588.29,3,588.29,3,588.29
c208,CLASSIC,3.0,588.32,3,588.32,10,3,588.32,3,588.32,3,588.32,3,588.32,3,588.32,3,588.32,3,588.32,3,588.32,3,588.32,3,588.32
c208,QLEARNING,3.0,588.32,3,588.32,10,3,588.32,3,588.32,3,588.32,3,588.32,3,588.32,3,588.32,3,588.32,3,588.32,3,588.32,3,588.32
r101,CLASSIC,19.0,1651.01,19,1651.01,10,19,1651.01,19,1651.01,19,1651.01,19,1651.01,19,1651.01,19,1651.01,19,1651.01,19,1651.01,19,1651.01,19,1651.01
r101,QLEARNING,19.0,1652.17,19,1652.17,10,19,1652.17,19,1652.17,19,1652.17,19,1652.17,19,1652.17,19,1652.17,19,1652.17,19,1652.17,19,1652.17,19,1652.17
r102,CLASSIC,17.0,1488.5,17,1488.5,10,17,1488.5,17,1488.5,17,1488.5,17,1488.5,17,1488.5,17,1488.5,17,1488.5,17,1488.5,17,1488.5,17,1488.5
r102,QLEARNING,17.0,1486.12,17,1486.12,10,17,1486.12,17,1486.12,17,1486.12,17,1486.12,17,1486.12,17,1486.12,17,1486.12,17,1486.12,17,1486.12,17,1486.12
r103,CLASSIC,14.0,1213.62,14,1213.62,10,14,1213.62,14,1213.62,14,1213.62,14,1213.62,14,1213.62,14,1213.62,14,1213.62,14,1213.62,14,1213.62,14,1213.62
r103,QLEARNING,14.0,1213.62,14,1213.62,10,14,1213.62,14,1213.62,14,1213.62,14,1213.62,14,1213.62,14,1213.62,14,1213.62,14,1213.62,14,1213.62,14,1213.62
r104,CLASSIC,10.0,982.55,10,982.55,10,10,982.55,10,982.55,10,982.55,10,982.55,10,982.55,10,982.55,10,982.55,10,982.55,10,982.55,10,982.55
r104,QLEARNING,10.0,986.35,10,986.35,10,10,986.35,10,986.35,10,986.35,10,986.35,10,986.35,10,986.35,10,986.35,10,986.35,10,986.35,10,986.35
r105,CLASSIC,14.0,1377.33,14,1377.33,10,14,1377.33,14,1377.33,14,1377.33,14,1377.33,14,1377.33,14,1377.33,14,1377.33,14,1377.33,14,1377.33,14,1377.33
r105,QLEARNING,14.0,1387.14,14,1387.14,10,14,1387.14,14,1387.14,14,1387.14,14,1387.14,14,1387.14,14,1387.14,14,1387.14,14,1387.14,14,1387.14,14,1387.14
r106,CLASSIC,12.0,1254.25,12,1254.25,10,12,1254.25,12,1254.25,12,1254.25,12,1254.25,12,1254.25,12,1254.25,12,1254.25,12,1254.25,12,1254.25,12,1254.25
r106,QLEARNING,12.0,1258.31,12,1258.31,10,12,1258.31,12,1258.31,12,1258.31,12,1258.31,12,1258.31,12,1258.31,12,1258.31,12,1258.31,12,1258.31,12,1258.31
r107,CLASSIC,11.0,1076.7,11,1076.7,10,11,1076.7,11,1076.7,11,1076.7,11,1076.7,11,1076.7,11,1076.7,11,1076.7,11,1076.7,11,1076.7,11,1076.7
r107,QLEARNING,11.0,1075.86,11,1075.86,10,11,1075.86,11,1075.86,11,1075.86,11,1075.86,11,1075.86,11,1075.86,11,1075.86,11,1075.86,11,1075.86,11,1075.86
r108,CLASSIC,10.0,944.44,10,944.44,10,10,944.44,10,944.44,10,944.44,10,944.44,10,944.44,10,944.44,10,944.44,10,944.44,10,944.44,10,944.44
r108,QLEARNING,10.0,948.61,10,948.61,10,10,948.61,10,948.61,10,948.61,10,948.61,10,948.61,10,948.61,10,948.61,10,948.61,10,948.61,10,948.61
r109,CLASSIC,12.0,1157.52,12,1157.52,10,12,1157.52,12,1157.52,12,1157.52,12,1157.52,12,1157.52,12,1157.52,12,1157.52,12,1157.52,12,1157.52,12,1157.52
r109,QLEARNING,12.0,1154.31,12,1154.31,10,12,1154.31,12,1154.31,12,1154.31,12,1154.31,12,1154.31,12,1154.31,12,1154.31,12,1154.31,12,1154.31,12,1154.31
r110,CLASSIC,11.0,1106.75,11,1106.75,10,11,1106.75,11,1106.75,11,1106.75,11,1106.75,11,1106.75,11,1106.75,11,1106.75,11,1106.75,11,1106.75,11,1106.75
r110,QLEARNING,11.0,1109.68,11,1109.68,10,11,1109.68,11,1109.68,11,1109.68,11,1109.68,11,1109.68,11,1109.68,11,1109.68,11,1109.68,11,1109.68,11,1109.68
r111,CLASSIC,11.0,1054.23,11,1054.23,10,11,1054.23,11,1054.23,11,1054.23,11,1054.23,11,1054.23,11,1054.23,11,1054.23,11,1054.23,11,1054.23,11,1054.23
r111,QLEARNING,11.0,1054.23,11,1054.23,10,11,1054.23,11,1054.23,11,1054.23,11,1054.23,11,1054.23,11,1054.23,11,1054.23,11,1054.23,11,1054.23,11,1054.23
r112,CLASSIC,10.0,967.79,10,967.79,10,10,967.79,10,967.79,10,967.79,10,967.79,10,967.79,10,967.79,10,967.79,10,967.79,10,967.79,10,967.79
r201,CLASSIC,4.0,1263.8,4,1263.8,10,4,1263.8,4,1263.8,4,1263.8,4,1263.8,4,1263.8,4,1263.8,4,1263.8,4,1263.8,4,1263.8,4,1263.8
r112,QLEARNING,10.0,959.55,10,959.55,10,10,959.55,10,959.55,10,959.55,10,959.55,10,959.55,10,959.55,10,959.55,10,959.55,10,959.55,10,959.55
r201,QLEARNING,4.0,1252.37,4,1252.37,10,4,1252.37,4,1252.37,4,1252.37,4,1252.37,4,1252.37,4,1252.37,4,1252.37,4,1252.37,4,1252.37,4,1252.37
r202,CLASSIC,4.0,1083.87,4,1083.87,10,4,1083.87,4,1083.87,4,1083.87,4,1083.87,4,1083.87,4,1083.87,4,1083.87,4,1083.87,4,1083.87,4,1083.87
r202,QLEARNING,4.0,1084.09,4,1084.09,10,4,1084.09,4,1084.09,4,1084.09,4,1084.09,4,1084.09,4,1084.09,4,1084.09,4,1084.09,4,1084.09,4,1084.09
r203,CLASSIC,3.0,958.19,3,958.19,10,3,958.19,3,958.19,3,958.19,3,958.19,3,958.19,3,958.19,3,958.19,3,958.19,3,958.19,3,958.19
r204,CLASSIC,3.0,752.06,3,752.06,10,3,752.06,3,752.06,3,752.06,3,752.06,3,752.06,3,752.06,3,752.06,3,752.06,3,752.06,3,752.06
r203,QLEARNING,3.0,944.44,3,944.44,10,3,944.44,3,944.44,3,944.44,3,944.44,3,944.44,3,944.44,3,944.44,3,944.44,3,944.44,3,944.44
r205,CLASSIC,3.0,994.43,3,994.43,10,3,994.43,3,994.43,3,994.43,3,994.43,3,994.43,3,994.43,3,994.43,3,994.43,3,994.43,3,994.43
r204,QLEARNING,3.0,757.14,3,757.13,10,3,757.13,3,757.13,3,757.13,3,757.13,3,757.13,3,757.13,3,757.13,3,757.13,3,757.13,3,757.13
r205,QLEARNING,3.0,1028.6,3,1028.6,10,3,1028.6,3,1028.6,3,1028.6,3,1028.6,3,1028.6,3,1028.6,3,1028.6,3,1028.6,3,1028.6,3,1028.6
r206,CLASSIC,3.0,913.26,3,913.26,10,3,913.26,3,913.26,3,913.26,3,913.26,3,913.26,3,913.26,3,913.26,3,913.26,3,913.26,3,913.26
r206,QLEARNING,3.0,913.2,3,913.2,10,3,913.2,3,913.2,3,913.2,3,913.2,3,913.2,3,913.2,3,913.2,3,913.2,3,913.2,3,913.2
r207,CLASSIC,3.0,819.26,3,819.26,10,3,819.26,3,819.26,3,819.26,3,819.26,3,819.26,3,819.26,3,819.26,3,819.26,3,819.26,3,819.26
r207,QLEARNING,3.0,835.76,3,835.76,10,3,835.76,3,835.76,3,835.76,3,835.76,3,835.76,3,835.76,3,835.76,3,835.76,3,835.76,3,835.76
r208,CLASSIC,2.0,732.23,2,732.23,10,2,732.23,2,732.23,2,732.23,2,732.23,2,732.23,2,732.23,2,732.23,2,732.23,2,732.23,2,732.23
r208,QLEARNING,2.0,741.48,2,741.48,10,2,741.48,2,741.48,2,741.48,2,741.48,2,741.48,2,741.48,2,741.48,2,741.48,2,741.48,2,741.48
r209,CLASSIC,3.0,922.48,3,922.48,10,3,922.48,3,922.48,3,922.48,3,922.48,3,922.48,3,922.48,3,922.48,3,922.48,3,922.48,3,922.48
r209,QLEARNING,3.0,928.71,3,928.71,10,3,928.71,3,928.71,3,928.71,3,928.71,3,928.71,3,928.71,3,928.71,3,928.71,3,928.71,3,928.71
r210,CLASSIC,3.0,951.0,3,951.0,10,3,951.0,3,951.0,3,951.0,3,951.0,3,951.0,3,951.0,3,951.0,3,951.0,3,951.0,3,951.0
r210,QLEARNING,3.0,954.12,3,954.12,10,3,954.12,3,954.12,3,954.12,3,954.12,3,954.12,3,954.12,3,954.12,3,954.12,3,954.12,3,954.12
r211,CLASSIC,3.0,767.82,3,767.82,10,3,767.82,3,767.82,3,767.82,3,767.82,3,767.82,3,767.82,3,767.82,3,767.82,3,767.82,3,767.82
r211,QLEARNING,3.0,795.89,3,795.89,10,3,795.89,3,795.89,3,795.89,3,795.89,3,795.89,3,795.89,3,795.89,3,795.89,3,795.89,3,795.89
rc101,CLASSIC,15.0,1623.58,15,1623.58,10,15,1623.58,15,1623.58,15,1623.58,15,1623.58,15,1623.58,15,1623.58,15,1623.58,15,1623.58,15,1623.58,15,1623.58
rc101,QLEARNING,15.0,1642.86,15,1642.86,10,15,1642.86,15,1642.86,15,1642.86,15,1642.86,15,1642.86,15,1642.86,15,1642.86,15,1642.86,15,1642.86,15,1642.86
rc102,CLASSIC,13.0,1484.97,13,1484.97,10,13,1484.97,13,1484.97,13,1484.97,13,1484.97,13,1484.97,13,1484.97,13,1484.97,13,1484.97,13,1484.97,13,1484.97
rc102,QLEARNING,13.0,1491.07,13,1491.07,10,13,1491.07,13,1491.07,13,1491.07,13,1491.07,13,1491.07,13,1491.07,13,1491.07,13,1491.07,13,1491.07,13,1491.07
rc103,CLASSIC,12.0,1282.17,12,1282.17,10,12,1282.17,12,1282.17,12,1282.17,12,1282.17,12,1282.17,12,1282.17,12,1282.17,12,1282.17,12,1282.17,12,1282.17
rc103,QLEARNING,11.0,1266.71,11,1266.71,10,11,1266.71,11,1266.71,11,1266.71,11,1266.71,11,1266.71,11,1266.71,11,1266.71,11,1266.71,11,1266.71,11,1266.71
rc104,CLASSIC,10.0,1137.25,10,1137.25,10,10,1137.25,10,1137.25,10,1137.25,10,1137.25,10,1137.25,10,1137.25,10,1137.25,10,1137.25,10,1137.25,10,1137.25
rc104,QLEARNING,10.0,1152.98,10,1152.98,10,10,1152.98,10,1152.98,10,1152.98,10,1152.98,10,1152.98,10,1152.98,10,1152.98,10,1152.98,10,1152.98,10,1152.98
rc105,CLASSIC,14.0,1552.05,14,1552.05,10,14,1552.05,14,1552.05,14,1552.05,14,1552.05,14,1552.05,14,1552.05,14,1552.05,14,1552.05,14,1552.05,14,1552.05
rc105,QLEARNING,14.0,1543.55,14,1543.55,10,14,1543.55,14,1543.55,14,1543.55,14,1543.55,14,1543.55,14,1543.55,14,1543.55,14,1543.55,14,1543.55,14,1543.55
rc106,CLASSIC,12.0,1386.79,12,1386.79,10,12,1386.79,12,1386.79,12,1386.79,12,1386.79,12,1386.79,12,1386.79,12,1386.79,12,1386.79,12,1386.79,12,1386.79
rc106,QLEARNING,12.0,1390.59,12,1390.59,10,12,1390.59,12,1390.59,12,1390.59,12,1390.59,12,1390.59,12,1390.59,12,1390.59,12,1390.59,12,1390.59,12,1390.59
rc107,CLASSIC,11.0,1248.07,11,1248.07,10,11,1248.07,11,1248.07,11,1248.07,11,1248.07,11,1248.07,11,1248.07,11,1248.07,11,1248.07,11,1248.07,11,1248.07
rc107,QLEARNING,11.0,1248.16,11,1248.16,10,11,1248.16,11,1248.16,11,1248.16,11,1248.16,11,1248.16,11,1248.16,11,1248.16,11,1248.16,11,1248.16,11,1248.16
rc108,CLASSIC,11.0,1119.11,11,1119.11,10,11,1119.11,11,1119.11,11,1119.11,11,1119.11,11,1119.11,11,1119.11,11,1119.11,11,1119.11,11,1119.11,11,1119.11
rc108,QLEARNING,11.0,1124.52,11,1124.52,10,11,1124.52,11,1124.52,11,1124.52,11,1124.52,11,1124.52,11,1124.52,11,1124.52,11,1124.52,11,1124.52,11,1124.52
rc201,CLASSIC,4.0,1418.51,4,1418.51,10,4,1418.51,4,1418.51,4,1418.51,4,1418.51,4,1418.51,4,1418.51,4,1418.51,4,1418.51,4,1418.51,4,1418.51
rc201,QLEARNING,4.0,1406.94,4,1406.94,10,4,1406.94,4,1406.94,4,1406.94,4,1406.94,4,1406.94,4,1406.94,4,1406.94,4,1406.94,4,1406.94,4,1406.94
rc202,CLASSIC,4.0,1176.3,4,1176.3,10,4,1176.3,4,1176.3,4,1176.3,4,1176.3,4,1176.3,4,1176.3,4,1176.3,4,1176.3,4,1176.3,4,1176.3
rc202,QLEARNING,4.0,1161.29,4,1161.29,10,4,1161.29,4,1161.29,4,1161.29,4,1161.29,4,1161.29,4,1161.29,4,1161.29,4,1161.29,4,1161.29,4,1161.29
rc203,CLASSIC,3.0,1104.74,3,1104.74,10,3,1104.74,3,1104.74,3,1104.74,3,1104.74,3,1104.74,3,1104.74,3,1104.74,3,1104.74,3,1104.74,3,1104.74
rc203,QLEARNING,3.0,1073.16,3,1073.16,10,3,1073.16,3,1073.16,3,1073.16,3,1073.16,3,1073.16,3,1073.16,3,1073.16,3,1073.16,3,1073.16,3,1073.16
rc204,CLASSIC,3.0,831.44,3,831.44,10,3,831.44,3,831.44,3,831.44,3,831.44,3,831.44,3,831.44,3,831.44,3,831.44,3,831.44,3,831.44
rc204,QLEARNING,3.0,798.61,3,798.61,10,3,798.61,3,798.61,3,798.61,3,798.61,3,798.61,3,798.61,3,798.61,3,798.61,3,798.61,3,798.61
rc205,CLASSIC,4.0,1320.05,4,1320.05,10,4,1320.05,4,1320.05,4,1320.05,4,1320.05,4,1320.05,4,1320.05,4,1320.05,4,1320.05,4,1320.05,4,1320.05
rc205,QLEARNING,4.0,1338.78,4,1338.78,10,4,1338.78,4,1338.78,4,1338.78,4,1338.78,4,1338.78,4,1338.78,4,1338.78,4,1338.78,4,1338.78,4,1338.78
rc206,CLASSIC,4.0,1085.16,4,1085.16,10,4,1085.16,4,1085.16,4,1085.16,4,1085.16,4,1085.16,4,1085.16,4,1085.16,4,1085.16,4,1085.16,4,1085.16
rc206,QLEARNING,3.0,1146.32,3,1146.32,10,3,1146.32,3,1146.32,3,1146.32,3,1146.32,3,1146.32,3,1146.32,3,1146.32,3,1146.32,3,1146.32,3,1146.32
rc207,CLASSIC,3.0,1101.16,3,1101.16,10,3,1101.16,3,1101.16,3,1101.16,3,1101.16,3,1101.16,3,1101.16,3,1101.16,3,1101.16,3,1101.16,3,1101.16
rc207,QLEARNING,4.0,1027.97,4,1027.97,10,4,1027.97,4,1027.97,4,1027.97,4,1027.97,4,1027.97,4,1027.97,4,1027.97,4,1027.97,4,1027.97,4,1027.97
rc208,CLASSIC,3.0,864.54,3,864.54,10,3,864.54,3,864.54,3,864.54,3,864.54,3,864.54,3,864.54,3,864.54,3,864.54,3,864.54,3,864.54
rc208,QLEARNING,3.0,841.51,3,841.51,10,3,841.51,3,841.51,3,841.51,3,841.51,3,841.51,3,841.51,3,841.51,3,841.51,3,841.51,3,841.51
