iter,best_veh,best_dist,curr_veh,curr_dist,d_op,r_op,score,temp,d_weight_0,d_weight_1,d_weight_2,d_weight_3,r_weight_0,r_weight_1,r_weight_2,r_weight_3
98,3,942.294,3,1034.82,2,3,9,191.633,9.96144,2.67403,11.6369,3.37814,8.20532,1,11.4288,6.46331
99,3,942.294,3,1034.82,2,3,0,191.537,9.96144,2.67403,10.4732,3.37814,8.20532,1,11.4288,5.81698
100,3,942.294,3,1294.21,1,2,9,191.441,9.96144,3.30663,10.4732,3.37814,8.20532,1,11.1859,5.81698
101,3,942.294,3,1265.3,0,3,13,191.345,10.2653,3.30663,10.4732,3.37814,8.20532,1,11.1859,6.53528
102,3,942.294,3,1265.3,2,3,0,191.25,10.2653,3.30663,9.42589,3.37814,8.20532,1,11.1859,5.88175
103,3,942.294,3,1215.8,0,2,13,191.154,10.5388,3.30663,9.42589,3.37814,8.20532,1,11.3673,5.88175
104,3,942.294,3,1215.8,0,2,0,191.058,9.48489,3.30663,9.42589,3.37814,8.20532,1,10.2306,5.88175
105,3,942.294,3,1092.59,0,2,13,190.963,9.8364,3.30663,9.42589,3.37814,8.20532,1,10.5075,5.88175
106,3,942.294,3,1092.59,1,0,0,190.867,9.8364,2.97596,9.42589,3.37814,7.38479,1,10.5075,5.88175
107,3,942.294,3,1092.59,3,0,0,190.772,9.8364,2.97596,9.42589,3.04033,6.64631,1,10.5075,5.88175
108,3,942.294,3,1092.59,1,3,0,190.677,9.8364,2.67837,9.42589,3.04033,6.64631,1,10.5075,5.29358
109,3,942.294,3,1092.59,3,2,0,190.581,9.8364,2.67837,9.42589,2.73629,6.64631,1,9.45677,5.29358
110,3,942.294,3,1092.59,2,0,0,190.486,9.8364,2.67837,8.4833,2.73629,5.98168,1,9.45677,5.29358
111,3,942.294,3,1092.59,2,3,0,190.391,9.8364,2.67837,7.63497,2.73629,5.98168,1,9.45677,4.76422
112,3,942.294,3,1127.67,2,0,9,190.296,9.8364,2.67837,7.77148,2.73629,6.28351,1,9.45677,4.76422
113,3,942.294,3,1130.15,3,0,9,190.2,9.8364,2.67837,7.77148,3.36266,6.55516,1,9.45677,4.76422
114,3,942.294,3,1105.99,0,2,13,190.105,10.1528,2.67837,7.77148,3.36266,6.55516,1,9.81109,4.76422
115,3,942.294,3,1105.99,3,2,0,190.01,10.1528,2.67837,7.77148,3.0264,6.55516,1,8.82998,4.76422
116,3,942.294,3,1066.48,3,2,13,189.915,10.1528,2.67837,7.77148,4.02376,6.55516,1,9.24699,4.76422
117,3,942.294,3,1066.48,0,0,0,189.82,9.13748,2.67837,7.77148,4.02376,5.89964,1,9.24699,4.76422
118,3,942.294,3,1089.45,0,2,9,189.725,9.12374,2.67837,7.77148,4.02376,5.89964,1,9.22229,4.76422
119,3,942.294,3,1089.45,2,2,0,189.63,9.12374,2.67837,6.99433,4.02376,5.89964,1,8.30006,4.76422
120,3,942.294,3,1089.45,3,2,0,189.536,9.12374,2.67837,6.99433,3.62138,5.89964,1,7.47005,4.76422
121,3,942.294,3,1089.45,3,2,9,189.441,9.12374,2.67837,6.99433,4.15924,5.89964,1,7.62305,4.76422
122,3,942.294,3,1099.78,0,3,9,189.346,9.11136,2.67837,6.99433,4.15924,5.89964,1,7.62305,5.1878
123,3,942.294,3,1114.23,3,2,9,189.252,9.11136,2.67837,6.99433,4.64332,5.89964,1,7.76074,5.1878
