iter,state,best_veh,best_dist,curr_veh,curr_dist,d_op,r_op,reward,temp,d_weight_0,d_weight_1,d_weight_2,d_weight_3,r_weight_0,r_weight_1,r_weight_2,r_weight_3
79,0,19,1731.59,19,1734.66,3,1,9,363.793,0.0824626,0.113315,0.335684,0.468539,0.142531,0.748885,0.0550807,0.0535026
80,0,19,1731.59,19,1734.66,3,1,9,363.611,0.0848051,0.116541,0.345316,0.453338,0.15098,0.734023,0.0583345,0.0566628
81,0,19,1731.59,19,1734.66,2,0,0,363.429,0.0870872,0.119685,0.354708,0.43852,0.159566,0.71892,0.0616402,0.0598735
82,0,19,1731.59,19,1734.66,0,1,9,363.248,0.0936439,0.128704,0.305965,0.471688,0.145665,0.730863,0.0626334,0.0608378
83,0,19,1731.08,19,1731.08,3,1,33,363.066,0.102714,0.127391,0.302897,0.466998,0.153746,0.715956,0.0660967,0.0642015
84,0,19,1700.71,19,1700.71,2,1,33,362.885,0.0821324,0.101869,0.242254,0.573745,0.112367,0.79242,0.0482993,0.0469141
85,0,19,1700.71,19,1700.71,3,1,9,362.703,0.0707891,0.0878033,0.346711,0.494697,0.0803841,0.851515,0.0345462,0.0335552
86,0,19,1700.71,19,1700.71,2,1,9,362.522,0.0731313,0.0907124,0.358296,0.47786,0.0867002,0.83986,0.0372543,0.0361855
87,0,19,1700.71,19,1700.71,3,1,0,362.34,0.0740847,0.091899,0.349744,0.484272,0.093276,0.827728,0.0400731,0.0389232
88,0,19,1700.71,19,1700.71,2,1,0,362.159,0.0829295,0.102875,0.391621,0.422574,0.115917,0.785929,0.0497916,0.0483625
89,0,19,1700.71,19,1716.69,3,1,9,361.978,0.090373,0.112114,0.336861,0.460653,0.141756,0.738231,0.0608804,0.0591327
90,0,19,1700.71,19,1716.69,2,1,0,361.797,0.0928947,0.115247,0.346351,0.445507,0.149789,0.723418,0.0643197,0.0624729
91,0,19,1700.71,19,1716.69,2,0,0,361.616,0.0996378,0.123618,0.298748,0.477996,0.179194,0.66915,0.0769329,0.0747235
92,0,19,1700.71,19,1716.69,1,1,0,361.436,0.105221,0.130551,0.259287,0.504941,0.162104,0.683137,0.078507,0.0762519
93,0,19,1700.71,19,1707.91,2,0,13,361.255,0.106626,0.118735,0.262796,0.511843,0.191228,0.626236,0.092598,0.0899377
94,0,19,1700.71,19,1706.52,3,1,13,361.074,0.104085,0.115908,0.280208,0.4998,0.213141,0.609322,0.0900626,0.0874746
95,0,19,1692.98,19,1692.98,3,1,33,360.894,0.102948,0.114644,0.277203,0.505205,0.210857,0.613539,0.0890823,0.086522
96,0,19,1692.98,19,1692.98,3,1,9,360.713,0.081013,0.090219,0.218182,0.610586,0.159141,0.708348,0.0672219,0.0652895
97,0,19,1692.98,19,1692.98,2,1,9,360.533,0.0844339,0.0940306,0.22744,0.594095,0.167457,0.693131,0.0707225,0.068689
98,0,19,1692.98,19,1692.98,3,0,0,360.353,0.0838636,0.0933976,0.232426,0.590313,0.17584,0.677795,0.0742501,0.0721147
99,0,19,1692.98,19,1692.98,2,1,0,360.172,0.0965042,0.107478,0.267514,0.528505,0.159264,0.691482,0.0757159,0.073538
100,0,19,1692.98,19,1692.98,2,1,9,359.992,0.100889,0.112363,0.234042,0.552706,0.18844,0.63499,0.0895734,0.0869964
101,0,19,1692.98,19,1702.08,0,2,9,359.812,0.100316,0.111727,0.238206,0.549751,0.196265,0.619861,0.093279,0.0905949
102,0,19,1692.98,19,1702.08,2,1,0,359.632,0.110403,0.110448,0.235516,0.543633,0.193822,0.612286,0.104438,0.0894534
103,0,19,1692.98,19,1700.85,3,1,13,359.453,0.114431,0.114478,0.207446,0.563645,0.223856,0.552238,0.120607,0.103299
104,0,19,1692.98,19,1700.85,1,1,0,359.273,0.113193,0.113239,0.205226,0.568342,0.221019,0.557944,0.119063,0.101974
105,0,19,1692.98,19,1700.85,3,1,9,359.093,0.114231,0.104895,0.207133,0.573741,0.251262,0.49749,0.135339,0.11591
106,0,19,1692.98,19,1700.85,2,1,0,358.914,0.118369,0.108692,0.214661,0.558278,0.258058,0.483935,0.138982,0.119026
107,0,19,1692.98,19,1700.85,3,1,9,358.734,0.121999,0.112024,0.190399,0.575579,0.287434,0.425228,0.154784,0.132555
108,0,19,1692.98,19,1700.85,3,1,0,358.555,0.126347,0.116014,0.197202,0.560438,0.293358,0.413423,0.157954,0.135266
109,0,19,1692.98,19,1699.2,3,2,13,358.376,0.143823,0.132059,0.224499,0.49962,0.320785,0.358626,0.1727,0.147889
110,0,19,1692.98,19,1699.2,2,0,0,358.196,0.141941,0.130329,0.221581,0.506149,0.314373,0.351466,0.18925,0.144911
111,0,19,1692.98,19,1699.2,3,0,0,358.017,0.146665,0.134663,0.195545,0.523126,0.269799,0.374343,0.201543,0.154316
112,0,19,1692.34,19,1692.34,2,1,33,357.838,0.165109,0.151596,0.220149,0.463146,0.233255,0.393105,0.211618,0.162021
113,0,19,1692.34,19,1692.34,3,1,9,357.659,0.143829,0.132055,0.320579,0.403537,0.190855,0.503439,0.173147,0.13256
114,0,19,1692.34,19,1692.34,2,1,9,357.481,0.146791,0.134772,0.327232,0.391205,0.195838,0.490485,0.177665,0.136011
115,0,19,1692.34,19,1692.34,2,0,0,357.302,0.148336,0.136188,0.320076,0.3954,0.20072,0.477799,0.18209,0.139391
116,0,19,1692.34,19,1692.34,2,1,0,357.123,0.158051,0.145106,0.275463,0.42138,0.178086,0.491372,0.187226,0.143316
117,0,19,1692.34,19,1692.34,1,0,0,356.945,0.166038,0.152435,0.238768,0.442759,0.198436,0.433257,0.208622,0.159685
