Instancia,Clase,Algoritmo,Avg_Vehiculos,Avg_Distancia,BKS_Vehiculos,BKS_Distancia,GAP_Vehiculos(%),GAP_Distancia(%),GAP_Unificado(%)
c208,C2,CLASSIC,3.0,588.32,3,588.32,0.0,0.0,0.0
c208,C2,QLEARNING,3.0,588.32,3,588.32,0.0,0.0,0.0
r101,R1,CLASSIC,19.0,1651.01,19,1650.8,0.0,0.01272110491882944,0.00010957428824766439
r101,R1,QLEARNING,19.0,1652.17,19,1650.8,0.0,0.08299006542283245,0.0007148417851761888
r102,R1,CLASSIC,17.0,1488.5,17,1486.12,0.0,0.16014857481227016,0.0013878674262410606
r102,R1,QLEARNING,17.0,1486.12,17,1486.12,0.0,0.0,0.0
r103,R1,CLASSIC,14.0,1213.62,13,1292.68,7.6923076923076925,-6.11597611164404,7.556354246101156
r103,R1,QLEARNING,14.0,1213.62,13,1292.68,7.6923076923076925,-6.11597611164404,7.556354246101156
r104,R1,CLASSIC,10.0,982.55,9,1007.31,11.11111111111111,-2.4580317876324065,10.960921710574684
r104,R1,QLEARNING,10.0,986.35,9,1007.31,11.11111111111111,-2.080789429272014,10.965097199334876
r105,R1,CLASSIC,14.0,1377.33,14,1377.11,0.0,0.015975484892276383,0.00015561217795523205
r105,R1,QLEARNING,14.0,1387.14,14,1377.11,0.0,0.7283368794068884,0.007094500658577574
r106,R1,CLASSIC,12.0,1254.25,12,1252.03,0.0,0.1773120452385348,0.0018308971816811347
r106,R1,QLEARNING,12.0,1258.31,12,1252.03,0.0,0.5015854252693605,0.005179294730157372
r107,R1,CLASSIC,11.0,1076.7,10,1104.66,10.0,-2.5310955407093614,9.863086429448447
r107,R1,QLEARNING,11.0,1075.86,10,1104.66,10.0,-2.607137037640557,9.862255607209397
r108,R1,CLASSIC,10.0,944.44,9,960.88,11.11111111111111,-1.7109316459911685,10.975663384083353
r108,R1,QLEARNING,10.0,948.61,9,960.88,11.11111111111111,-1.2769544584131194,10.980247772448987
r109,R1,CLASSIC,12.0,1157.52,11,1194.73,9.090909090909092,-3.114511228478404,8.959768147285404
r109,R1,QLEARNING,12.0,1154.31,11,1194.73,9.090909090909092,-3.3831911812710884,8.956881319825142
r110,R1,CLASSIC,11.0,1106.75,10,1118.84,10.0,-1.0805834614422007,9.877397723312495
r110,R1,QLEARNING,11.0,1109.68,10,1118.84,10.0,-0.8187050874119495,9.880295304020494
r111,R1,CLASSIC,11.0,1054.23,10,1096.73,10.0,-3.875156145997648,9.849477821884053
